dasher_services	APPS_SECURITY_DELETE_SECURITY_KEYS	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	23,092
dasher_services	API_APPS_ENTERPRISE_CUSTOMER_DELETE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	15,129
dasher_services	API_APPS_ENTERPRISE_CUSTOMER	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	14,231
dasher_services	CS_GENERATE_CERTIFICATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	12,952
dasher_services	SCHEMA_MANAGEMENT	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	11,770
dasher_services	APPS_SECURITY_MANAGE_SECURITY_KEYS	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	9,516
dasher_services	APPS_SECURITY_ASP_DELETE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	9,421
dasher_services	API_APPS_ENTERPRISE_DOMAIN	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	9,316
dasher_services	MANAGE_ROLES	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	7,221
dasher_services	ACCEPT_DAR_INVITE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	1,353
dasher_services	LDAP_MANAGEMENT_READ	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	763
dasher_services	RULE_MANAGEMENT	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	632
dasher_services	CUSTOMER_TAKEOUT_API_WRITE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	385
dasher_services	CS_DELETE_CERTIFICATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	358
dasher_services	LDAP_MANAGEMENT_CREATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	166
dasher_services	LDAP_MANAGEMENT_UPDATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	140
dasher_services	LDAP_MANAGEMENT_DELETE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	131
dasher_services	USERS_UNSUSPEND_FOR_ABUSE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	125
dasher_services	APP_ACCESS_MANAGEMENT	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	12
dasher_services	CUSTOMER_CONVERSION_WRITE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	7
dasher_services	MANAGE_SYSTEM_ROLES	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	6
dasher_services	USERS_RETRIEVE_PRIVILEGE_GROUP	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	3
dasher_services	USERS_RETRIEVE	RESELLER	DASHER_SERVICES 806895588327	5,974,224
dasher_services	USERS_CREATE	RESELLER	DASHER_SERVICES 806895588327	2,519,349
